d_model,seq,compiled,fwd_ms,bwd_ms,mem_before_bwd_gib,ok,error
16,256,False,0.17443373799324036,0.6641815602779388,0.018311023712158203,True,
16,256,True,0.20112824626266956,0.6168227177113295,0.018311023712158203,True,
16,1024,False,0.4085503797978163,1.364333676174283,0.0490727424621582,True,
16,1024,True,0.44586594216525555,1.3056481536477804,0.0490727424621582,True,
16,4096,False,4.035704098641872,13.671662220731378,0.5236821174621582,True,
16,4096,True,3.8324765115976334,12.28997616097331,0.5236821174621582,True,
16,8192,False,14.997846158221364,48.88652006164193,2.031494617462158,True,
16,8192,True,14.431521240621805,45.03231721930206,2.031494617462158,True,
16,16384,False,56.68299151584506,196.17091448046267,8.047119617462158,True,
16,16384,True,53.56626500375569,170.40505030192435,8.047119617462158,True,
32,256,False,0.16448074020445347,0.5226243752986193,0.018799304962158203,True,
32,256,True,0.23260527290403843,0.6343744602054358,0.018799304962158203,True,
32,1024,False,0.3748968616127968,1.2058985326439142,0.0510258674621582,True,
32,1024,True,0.43714881874620914,1.1915606632828712,0.0510258674621582,True,
32,4096,False,4.267945280298591,14.155448954552412,0.5314946174621582,True,
32,4096,True,4.437152603641152,13.527919836342335,0.5314946174621582,True,
32,8192,False,15.912864785641432,50.74528204277158,2.047119617462158,True,
32,8192,True,15.68035449832678,47.34861142002046,2.047119617462158,True,
32,16384,False,60.524044036865234,203.52296082302928,8.078369617462158,True,
32,16384,True,57.68694835714996,175.23818326182663,8.078369617462158,True,
64,256,False,0.16394013538956642,0.5384042672812939,0.019775867462158203,True,
64,256,True,0.2480877656489611,0.6681741774082184,0.019775867462158203,True,
64,1024,False,0.4021184239536524,1.2717714998871088,0.0549321174621582,True,
64,1024,True,0.5637707747519016,1.4261031430214643,0.0549321174621582,True,
64,4096,False,4.713736465200782,15.06158689968288,0.5471196174621582,True,
64,4096,True,4.438746394589543,13.37985766120255,0.5471196174621582,True,
64,8192,False,17.69670126028359,54.324475498870015,2.078369617462158,True,
64,8192,True,15.218472499400377,46.026335302740335,2.078369617462158,True,
64,16384,False,67.69592326134443,218.1593387015164,8.140869617462158,True,
64,16384,True,65.04312821663916,189.99668405391276,8.140869617462158,True,
128,256,False,0.163517277687788,0.560222864151001,0.021728992462158203,True,
128,256,True,0.24348795413970947,0.69344287738204,0.021728992462158203,True,
128,1024,False,0.4596724174916744,1.4006306137889624,0.0627446174621582,True,
128,1024,True,0.6198955606669188,1.553774420171976,0.0627446174621582,True,
128,4096,False,5.574694816023111,16.831054976209998,0.5783696174621582,True,
128,4096,True,5.30097940005362,15.139405960217118,0.5783696174621582,True,
128,8192,False,21.165002901107073,61.3535737618804,2.140869617462158,True,
128,8192,True,18.746507801115513,53.067769231274724,2.140869617462158,True,
128,16384,False,81.59276488237083,246.16182127967477,8.265869617462158,True,
128,16384,True,78.99397107772529,217.93481592088938,8.265869617462158,True,
