impl,dtype,d,seq,fwd_ms,bwd_ms,e2e_ms,ok,error,est_peak_gib
flash_triton,float32,128,128,0.03599283424695597,1.8714978351042821,0.4351871180069911,True,,0.002
flash_triton,float32,128,256,0.030095028657732264,0.49795694491727566,0.49912924277856485,True,,0.005
flash_triton,float32,128,512,0.04106180729125743,0.47431457830854684,0.4607121382834594,True,,0.014
flash_triton,float32,128,1024,0.07340593370608986,0.5726297830834108,0.5321928960876865,True,,0.043
flash_triton,float32,128,2048,0.13760631235495005,0.6130206659436226,0.6114846040717269,True,,0.148
flash_triton,float32,128,4096,0.5220212285814722,2.05746895358676,2.05722951359219,True,,0.547
flash_triton,float32,128,8192,1.537367321677127,7.238050534174993,7.239507675170898,True,,2.094
flash_triton,bfloat16,128,128,0.016742897952032824,0.5365204932415379,0.5279698697003451,True,,0.002
flash_triton,bfloat16,128,256,0.01926522881090641,0.5667362752659567,0.5516872042851733,True,,0.005
flash_triton,bfloat16,128,512,0.03122081343053269,0.5570746665199597,0.5554395611972025,True,,0.014
flash_triton,bfloat16,128,1024,0.05483957574081918,0.5653810122738714,0.5571669348080953,True,,0.043
flash_triton,bfloat16,128,2048,0.10001968209382514,0.5881076666216055,0.5885260492805543,True,,0.148
flash_triton,bfloat16,128,4096,0.23573492506324356,1.7830489492416381,1.7891763257980347,True,,0.547
flash_triton,bfloat16,128,8192,0.5571200008123693,6.277275816599528,6.27681713104248,True,,2.094
