backend,world_size,size_mb,numel,warmup,iters,mean_ms,max_ms,alg_bw_gbps,bus_bw_gbps
nccl,2,1.0,262144,5,20,0.42761489748954773,0.4389822483062744,2.452150301956284,2.452150301956284
nccl,2,10.0,2621440,5,20,0.3883661236613989,0.3902243450284004,26.999677266244056,26.999677266244056
nccl,2,100.0,26214400,5,20,0.7454125210642815,0.7455708459019661,140.67056433434595,140.67056433434595
nccl,2,1024.0,268435456,5,20,6.075931806117296,6.079023145139217,176.72051929861166,176.72051929861166
