variant,model,world_size,batch_size_per_rank,context_length,vocab_size,warmup,steps,fwd_ms,bwd_ms,comm_ms,opt_ms,step_ms,step_ms_max_rank_std,num_params,grad_bytes_per_step,ok,error
naive,xl,2,2,256,10000,5,10,398.2992550358176,611.3346547819674,209.98311499133706,315.291659720242,1534.908684529364,28.954813147061287,3406809600,13627238400,True,
flat,xl,2,2,256,10000,5,10,249.92609610781074,592.1307749114931,168.0127943865955,297.95297021046287,1308.022635616362,100.11805817054486,3406809600,13627238400,True,
overlap,xl,2,2,256,10000,5,10,311.3158017396927,973.1075427494943,23.566247243434187,300.17570881173015,1608.1653005443513,32.31050689392598,3406809600,13627238400,True,
